,state,value,age,level
616,Utah,0.7713204951856947,1925,black
617,Vermont,0.8772169167803547,1925,black
618,Virginia,0.8886783547800498,1925,black
619,Washington,0.9232066941089142,1925,black
620,West Virginia,0.7898812596799174,1925,black
621,Wisconsin,0.8585490051971232,1925,black
622,Wyoming,,1925,black
623,Puerto Rico,0.9089887640449438,1925,black
624,Alabama,0.8277444359469585,2634,black
625,Alaska,0.8948675496688742,2634,black
626,Arizona,0.8438850051056477,2634,black
627,Arkansas,0.8344915728093298,2634,black
628,California,0.896353956058768,2634,black
629,Colorado,0.8958118482869256,2634,black
630,Connecticut,0.8866988331109058,2634,black
631,Delaware,0.8493083608764843,2634,black
632,District of Columbia,0.9428397318708105,2634,black
633,Florida,0.7853093666491561,2634,black
634,Georgia,0.8052078206791642,2634,black
635,Hawaii,0.8038534428300695,2634,black
636,Idaho,0.8333973128598848,2634,black
637,Illinois,0.8875969344205727,2634,black
638,Indiana,0.8507329461165171,2634,black
639,Iowa,0.806333313929798,2634,black
640,Kansas,0.7253060363022372,2634,black
641,Kentucky,0.8653315077394351,2634,black
642,Louisiana,0.8739623243933589,2634,black
643,Maine,0.866245536940401,2634,black
644,Maryland,0.8891647104323502,2634,black
645,Massachusetts,0.9285369316102973,2634,black
646,Michigan,0.889692197161267,2634,black
647,Minnesota,0.8908577440611329,2634,black
648,Mississippi,0.7857019450228693,2634,black
649,Missouri,0.800212889703381,2634,black
650,Montana,,2634,black
651,Nebraska,0.7784922582282765,2634,black
652,Nevada,0.8741623060681172,2634,black
653,New Hampshire,0.8015131286159324,2634,black
654,New Jersey,0.8931232505880652,2634,black
655,New Mexico,0.8245960502692998,2634,black
656,New York,0.9030717618354593,2634,black
657,North Carolina,0.8444946321026446,2634,black
658,North Dakota,,2634,black
659,Ohio,0.8679469539192959,2634,black
660,Oklahoma,0.8090104076821344,2634,black
661,Oregon,0.9384345951771521,2634,black
662,Pennsylvania,0.8727666784016899,2634,black
663,Rhode Island,0.8419153501072753,2634,black
